name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",12775,1871903,10.82,5.2,4.83,1.42,1.04,1.41,30.26,18.6,14.1,16.2,6.5,66347,91202
"Natchez, MS-LA Micro Area",-113,51044,10.99,5.18,3.79,0.52,0.3,0.26,20.82,14.5,7.6,6.1,2.7,30239,48705
"Natchitoches, LA Micro Area",1022,38769,11.15,5.22,12.67,0.48,0.41,0.18,21.9,12.2,6.4,7.1,2.7,28567,47309
"New Bern, NC Metro Area",462,124786,12.31,4.33,4.79,0.78,0.54,1.31,30.12,18.7,12.2,12.1,4.4,51017,68725
"New Castle, IN Micro Area",-264,48255,10.79,5.44,3.04,0.27,0.48,0.67,26.73,22.4,13.1,9.7,3.1,49832,62330
"New Castle, PA Micro Area",182,86727,8.5,4.73,3.96,0.56,0.59,0.66,30.16,18.7,12.2,11.9,4.4,50204,67724
"New Haven-Milford, CT Metro Area",4,857513,10.13,5.4,6.14,1.92,1.06,1.6,29.85,16.2,12.5,16.5,8.8,69905,94740
"New Orleans-Metairie, LA Metro Area",-2738,1267777,10.2,4.97,4.82,1.45,0.67,1.45,27.27,16.4,11.6,13,5.8,53084,76818
"New Philadelphia-Dover, OH Micro Area",175,92335,8.68,4.93,2.49,0.83,0.31,1.07,26.95,20.3,14.3,12.3,3.1,53243,66469
"New Ulm, MN Micro Area",-181,25163,9.07,4.92,6.04,0.38,0.4,0.39,32.51,20.1,17.3,16.8,3.1,61120,73387
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",822,19294236,10.51,5.03,5.39,1.6,1.59,1.95,29.09,13.9,11.4,16.4,9.6,78773,116604
"Newberry, SC Micro Area",-139,38194,8.98,5.3,5.21,0.58,0.47,0.86,23.49,17.6,10.7,10.7,3.5,44226,61507
"Newport, OR Micro Area",187,48547,6.92,3.77,2.25,0.63,0.57,1.24,33.98,19.5,11.7,10,2.8,47882,61968
"Newport, TN Micro Area",-125,35552,7.7,4.96,2.13,0.04,0.27,0.57,20.38,17.5,9.4,7,1.5,36716,49875
"Niles, MI Metro Area",627,154133,8.87,5.33,4.22,1.39,0.63,1.77,30.18,17.6,11,12.5,5.1,50795,73428
"Nogales, AZ Micro Area",105,46480,8.72,7.46,3.64,0.48,0.14,1.81,22.42,17.1,9.4,9.8,3.1,41259,61551
"Norfolk, NE Micro Area",-184,48181,9.56,5.51,4.57,0.89,0.32,0.54,30.53,20,15.1,13.2,4.1,55793,69810
"North Platte, NE Micro Area",13,36585,8.47,5.4,3.19,0.57,0.28,0.57,29.64,19.6,14.9,15.5,4.3,59488,74472
"North Port-Sarasota-Bradenton, FL Metro Area",2550,803709,6.99,3.93,3.23,0.65,0.78,1.86,33.39,19,12.7,14.6,5.7,60810,87037
"North Vernon, IN Micro Area",-117,27710,9,6.02,4.36,0.74,0.42,0.43,26.59,22.6,13.1,12.7,3.3,54191,67996
"North Wilkesboro, NC Micro Area",-282,68469,8.24,4.91,3.14,0.29,0.5,0.37,28.87,19.3,10.9,8.8,2.8,44107,59515
"Norwalk, OH Micro Area",-161,58339,9.08,5.59,2.79,0.37,0.26,0.75,28.9,21.6,12.9,12.8,3.8,52560,65653
"Norwich-New London, CT Metro Area",835,267390,11.26,5.18,4.97,1.3,1,2.81,32.48,17.8,13.9,17.7,9,73490,95858
"Oak Harbor, WA Micro Area",156,82866,11.44,3.66,3.99,0.97,0.73,2.28,36.98,21,15,17.1,6.6,68604,86613
"Ocala, FL Metro Area",1089,353526,7.82,4.42,3.43,0.61,0.5,1.15,29.88,19.5,11.1,9.4,2.6,45371,62048
"Ocean City, NJ Metro Area",195,93086,8.23,4.27,3.31,0.84,0.81,1.1,35.06,18.2,13.3,16,7.5,67074,93847
"Odessa, TX Metro Area",-719,160579,12.92,5.94,4.47,0.76,0.42,0.73,21.41,19,13.7,16.6,6.3,62973,83484
"Ogden-Clearfield, UT Metro Area",3038,662875,10.71,6.66,5.48,0.99,1.03,1.54,27.34,20,17,19.9,7.9,75062,90241
"Ogdensburg-Massena, NY Micro Area",172,108913,10.79,4.29,10.25,1.21,0.62,1.05,28.22,17.8,13,13.4,3.8,50940,65160
"Oil City, PA Micro Area",-62,51818,7.97,4.35,2.06,0.41,0.42,0.56,29.92,21.1,12.5,11,3.5,49945,63012
"Okeechobee, FL Micro Area",-104,41144,10.07,4.85,2.47,0.3,0.09,0.3,21.55,17.3,9.6,10,2.1,41760,58238
"Oklahoma City, OK Metro Area",3358,1382841,11.26,5.17,5.93,1.44,0.81,1.2,28.22,18.8,13.3,14.1,5.7,59084,80805
"Olean, NY Micro Area",-166,77121,8.74,5.33,4.52,0.48,0.43,0.72,27.91,19.6,12.9,11.4,2.9,48703,61368
"Olympia-Lacey-Tumwater, WA Metro Area",2405,279711,10.31,4.9,5.03,1.1,1.21,1.4,33.72,18.4,16.1,18.6,7.3,72003,87696
