"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Bellingham, WA Metro Area","1123","220821","12.23","4.41","9.88","1.05","0.68","1.43","33.56","19","14.6","15.4","6.9","62984","80590"
"Bend, OR Metro Area","534","186251","9.02","4.58","3.65","0.72","0.76","1.51","35.09","19.2","14.5","16.2","6.7","67043","86719"
"Billings, MT Metro Area","-64","179071","9.55","4.88","3.46","0.93","0.44","1.35","33.16","19.8","13.7","14.9","5.8","61278","81026"
"Binghamton, NY Metro Area","973","241874","10.36","4.82","7.99","1.73","1.25","2.1","31.76","17.7","13.7","13.8","4.7","54295","70971"
"Birmingham-Hoover, AL Metro Area","2769","1085330","9.72","5.21","4.65","1.29","0.9","1.44","27.86","17.6","12.4","14.5","5.7","57447","80637"
"Bismarck, ND Metro Area","467","127503","11.09","4.36","4.32","1.08","0.7","1.19","34.25","17.7","13.7","20.2","7.9","71398","91821"
"Blacksburg-Christiansburg, VA Metro Area","558","166785","14.59","3.87","19.45","3.44","1","2.69","28.74","21.4","12.1","12.3","4.6","55065","71938"
"Bloomington, IL Metro Area","523","172578","12.63","4.82","13.95","1.73","2.41","1.39","31.05","16.3","13.6","16.8","8.3","67675","88810"
"Bloomington, IN Metro Area","2922","167296","15.95","3.67","19.29","4.86","1.4","1.58","31.03","17.1","11.2","13","4.6","49798","68782"
"Bloomsburg-Berwick, PA Metro Area","-187","83974","10.08","4.18","9.53","0.88","0.77","0.78","28.98","18.7","12.3","12.3","4.9","51745","69352"
"Boise City, ID Metro Area","3984","710743","10.23","5.99","5.11","1.06","0.98","1.72","30.77","19.8","13.6","15.2","5.3","60568","80438"
"Boston-Cambridge-Newton, MA-NH Metro Area","18877","4832346","11.09","4.92","6.42","2.36","1.97","3.32","31.93","13.5","11.8","18.5","11.3","90333","122399"
